식재료,카테고리,English
스팸,가공육 및 육가공품,Spam
소시지,가공육 및 육가공품,sausage
베이컨,가공육 및 육가공품,bacon
페페로니,가공육 및 육가공품,Pepperoni
패티,가공육 및 육가공품,Patty
햄,가공육 및 육가공품,ham
불고기,가공육 및 육가공품,Bulgogi
바비큐,가공육 및 육가공품,Barbecue
떡갈비,가공육 및 육가공품,Tteokgalbi
살라미,가공육 및 육가공품,salami
사골,가공육 및 육가공품,ethmoid
계란,가금류 및 알류,egg
달걀,가금류 및 알류,egg
메추리알,가금류 및 알류,Quail
노른자,가금류 및 알류,Yolk
완숙,가금류 및 알류,Perfection
지단,가금류 및 알류,Zidane
굴,해산물 및 어패류,cave
조개,해산물 및 어패류,seashell
키조개,해산물 및 어패류,Key
홍합,해산물 및 어패류,sea mussel
대하,해산물 및 어패류,jumbo shrimp
새우,해산물 및 어패류,shrimp
보리새우,해산물 및 어패류,Barley shrimp
오징어,해산물 및 어패류,calamari
갑오징어,해산물 및 어패류,Cuttlefish
문어,해산물 및 어패류,octopus
낙지,해산물 및 어패류,octopus
주꾸미,해산물 및 어패류,Jukkumi
어묵,해산물 및 어패류,Fish cake
골뱅이,해산물 및 어패류,at
미더덕,해산물 및 어패류,Miduduk
멍게,해산물 및 어패류,Sea urchin
연어,해산물 및 어패류,salmon
명태,해산물 및 어패류,Pollock
갈치,해산물 및 어패류,Cutlass
고등어,해산물 및 어패류,mackerel
꽁치,해산물 및 어패류,Saury
삼치,해산물 및 어패류,Mackerel
병어,해산물 및 어패류,Venom
광어,해산물 및 어패류,Flounder
조기,해산물 및 어패류,croaker
도미,해산물 및 어패류,Sea bream
아귀,해산물 및 어패류,crotch
밴댕이,해산물 및 어패류,Bandang
황태,해산물 및 어패류,Yellow -tae
황도,해산물 및 어패류,ecliptic
북어,해산물 및 어패류,North Korean language
과메기,해산물 및 어패류,Guamegi
명란젓,해산물 및 어패류,Cod roe
젓갈,해산물 및 어패류,Salted fish
새우젓,해산물 및 어패류,Shrimp
까나리,해산물 및 어패류,Canary
게맛살,해산물 및 어패류,Crab meat
꽃게,해산물 및 어패류,Crab
게살,해산물 및 어패류,게살
소라,해산물 및 어패류,Sora
민어,해산물 및 어패류,Minute
미역,해산물 및 어패류,brown seaweed
참치,해산물 및 어패류,tuna
골뱅이,해산물 및 어패류,at
꼬막,해산물 및 어패류,Kick
명태,해산물 및 어패류,Pollock
갈치,해산물 및 어패류,Cutlass
다슬기,해산물 및 어패류,Dasulgi
먹물,해산물 및 어패류,India ink
동태,해산물 및 어패류,Dynamics
우렁이,해산물 및 어패류,Swallow
우렁,해산물 및 어패류,Rug
가자미,해산물 및 어패류,flounder
바지락,해산물 및 어패류,Clam
대구,해산물 및 어패류,daegu
생선,해산물 및 어패류,fish
전지,해산물 및 어패류,battery
전복,해산물 및 어패류,abalone
멸치,해산물 및 어패류,anchovy
날치,해산물 및 어패류,Fly
우유,유제품 및 치즈류,milk
치즈,유제품 및 치즈류,cheese
플레인요거트,유제품 및 치즈류,Plain yogurt
요플레,유제품 및 치즈류,Yople
요구르트,유제품 및 치즈류,yogurt
크림,유제품 및 치즈류,cream
버터,유제품 및 치즈류,butter
탈지분유,유제품 및 치즈류,Degradation
분유,유제품 및 치즈류,powdered milk
연유,유제품 및 치즈류,Condensation
아이스크림,유제품 및 치즈류,ice cream
빵,빵 및 밀가루 가공품,bread
바게트,빵 및 밀가루 가공품,Baguette
크래커,빵 및 밀가루 가공품,cracker
비스킷,빵 및 밀가루 가공품,biscuit
베이킹파우더,빵 및 밀가루 가공품,Baking powder
식빵,빵 및 밀가루 가공품,white bread
카스텔라,빵 및 밀가루 가공품,Castella
떡,빵 및 밀가루 가공품,rice cake
절편,빵 및 밀가루 가공품,Fragmentation
증편,빵 및 밀가루 가공품,Increase
가래떡,빵 및 밀가루 가공품,Sputum
떡볶이떡,빵 및 밀가루 가공품,Tteokbokki
누룽지,빵 및 밀가루 가공품,Nurungji
빵가루,빵 및 밀가루 가공품,Breadcrumb
크루통,빵 및 밀가루 가공품,Crutet
국수,면류,noodle
우동면,면류,Udon-myeon
라면,면류,ramen
파스타면,면류,Pasta
스파게티면,면류,Spaghetti
라비올리,면류,ravioli
쌀국수,면류,Rice noodles
소면,면류,carding
조미료,조미료 및 양념류,condiment
소금,조미료 및 양념류,salt
천일염,조미료 및 양념류,Sun salt
소금물,조미료 및 양념류,brine
후추,조미료 및 양념류,pepper
고추,조미료 및 양념류,pepper
청양고추,조미료 및 양념류,Cheongyang pepper
고춧가루,조미료 및 양념류,Red pepper powder
고추장,조미료 및 양념류,chili pepper paste
쌈장,조미료 및 양념류,Ssamjang
초고추장,조미료 및 양념류,Pepper paste
된장,조미료 및 양념류,soybean paste
간장,조미료 및 양념류,soy sauce
해선장,조미료 및 양념류,Hae
굴소스,조미료 및 양념류,Oyster sauce
케첩,조미료 및 양념류,ketchup
머스터드,조미료 및 양념류,Mustard
마요네즈,조미료 및 양념류,mayonnaise
드레싱,조미료 및 양념류,dressing
식용유,조미료 및 양념류,Cooking oil
참기름,조미료 및 양념류,Sesame oil
들기름,조미료 및 양념류,Perilla oil
올리브오일,조미료 및 양념류,Olive oil
오일,조미료 및 양념류,Oil
카레가루,조미료 및 양념류,Curry powder
허브,조미료 및 양념류,Herb
로즈마리,조미료 및 양념류,Rosemary
로즈메리,조미료 및 양념류,Rose Mary
강황,조미료 및 양념류,curcuma
정종,조미료 및 양념류,Jeongjong
청주,조미료 및 양념류,rice wine
막걸리,조미료 및 양념류,Makgeolli
포도주,조미료 및 양념류,wine
적포도주,조미료 및 양념류,red wine
식초,조미료 및 양념류,vinegar
식혜,조미료 및 양념류,Sikhye
장아찌,조미료 및 양념류,Pickle
고추기름,조미료 및 양념류,Pepper oil
스리라차,조미료 및 양념류,Sriracha
카레,조미료 및 양념류,curry
설탕,당류 및 감미료,sugar
물엿,당류 및 감미료,Pimp
엿기름,당류 및 감미료,malt
조청,당류 및 감미료,Chapel
타가토스,당류 및 감미료,Tagatos
캐러멜,당류 및 감미료,caramel
초콜릿,당류 및 감미료,chocolate
코코아,당류 및 감미료,cocoa
시럽,당류 및 감미료,syrup
물,음료 및 차류,water
탄산수,음료 및 차류,sparkling water
생수,음료 및 차류,bottled water
사이다,음료 및 차류,Cider
주스,음료 및 차류,juice
커피,음료 및 차류,coffee
맥주,음료 및 차류,beer
와인,음료 및 차류,Wine
포도주,음료 및 차류,wine
홍차,음료 및 차류,Black tea
녹차,음료 및 차류,green tea
차,음료 및 차류,car
오미자차,음료 및 차류,Omija tea
구기자차,음료 및 차류,Goji tea
티백,음료 및 차류,Tea bag
소주,음료 및 차류,soju
김치,김치 및 발효식품,kimchi
백김치,김치 및 발효식품,White kimchi
열무김치,김치 및 발효식품,Yeolmu kimchi
깍두기,김치 및 발효식품,Diced
동치미,김치 및 발효식품,Dongchimi
냉국,냉동 및 가공식품,Cold country
보쌈,냉동 및 가공식품,Bossam
뼈,냉동 및 가공식품,bone
순무,냉동 및 가공식품,turnip
장어,냉동 및 가공식품,Eel
족발,냉동 및 가공식품,Jokbal
보리새우,냉동 및 가공식품,Barley shrimp
식빵,냉동 및 가공식품,white bread
필레,냉동 및 가공식품,filet
건포도,냉동 및 가공식품,raisin
수삼,약재 및 뿌리채소류,Ginseng
더덕,약재 및 뿌리채소류,Deodeok
레몬그라스,허브 및 향신료,Lemon grass
플라워,허브 및 향신료,Flower
민트,허브 및 향신료,Mint
파슬리,허브 및 향신료,parsley
겨자,허브 및 향신료,mustard
고수,허브 및 향신료,master
바닐라,허브 및 향신료,vanilla
계피,허브 및 향신료,cinnamon
생강,허브 및 향신료,ginger
월계수,허브 및 향신료,bay tree
고추냉이,허브 및 향신료,Red pepper
김,해조류,seaweed
파래,해조류,Paradise
다시마,해조류,Kelp
가쓰오부시,가공식품,Katsuobushi
스프,가공식품,Soup
통조림,가공식품,canned goods
버거,가공식품,Burger
튀김,가공식품,fry
맛살,가공식품,Flavor
피클,가공식품,Pickle
양조,주류,brewing
미림,주류,Mirim
레시틴,기타,lecithin
한천,기타,Agar
얼음,기타,ice
젤라틴,기타,gelatin
인삼,기타,ginseng
진달래꽃,기타,Rhododendron
누룩,기타,yeast
이스트,기타,Yeast
꼬치,기타,food on a skewer
